file,category,poc_name,cve_id,protocol,grade,attack_input,execution_path,observable_result,safety_gate,is_recon,missing
pocs/advanced/01_CWE_295_OTA_MITM_Interception_Active_Validation.py,advanced,OTA MITM Interception,CWE-295,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/02_CVE_2022_27254_RF_Keyfob_Replay_Active_Validation.py,advanced,RF Keyfob Replay,CVE-2022-27254,rf,EXP_READY,True,True,True,True,False,
pocs/advanced/03_CWE_345_GPS_Spoofing_Active_Validation.py,advanced,GPS Spoofing,CWE-345,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/04_CWE_345_TPMS_Signal_Spoofing_Active_Validation.py,advanced,TPMS Signal Spoofing,CWE-345,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/05_CWE_345_V2X_BSM_Injection_Active_Validation.py,advanced,V2X BSM Injection,CWE-345,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/06_CWE_367_FW_Update_TOCTOU_Active_Validation.py,advanced,FW Update TOCTOU,CWE-367,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/07_CWE_347_QNX_Unsigned_Firmware_Active_Validation.py,advanced,QNX Unsigned Firmware,CWE-347,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/08_CWE_347_USB_Unsigned_Update_Active_Validation.py,advanced,USB Unsigned Update,CWE-347,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/09_CWE_732_File_ACL_Permission_Active_Validation.py,advanced,检测已连接的 Android 设备上若干敏感文件或接口的权限问题...,CWE-732,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/10_CWE_284_SELinux_Policy_Active_Validation.py,advanced,检测设备是否启用安全SELinux状态...,CWE-284,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/advanced/11_CWE_693_Stack_Canary_Hardening_Active_Validation.py,advanced,检测已连接设备是否启用栈保护机制...,CWE-693,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/12_CWE_693_ASLR_Address_Space_Active_Validation.py,advanced,检测设备是否启用了地址空间布局随机化（ASLR）...,CWE-693,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/13_CVE_2024_31317_Android_Zygote_Command_Injection_Active_Validation.py,advanced,检测设备是否存在Zygote进程命令注入漏洞（CVE-2024-31317）...,CVE-2024-31317,local,PAYLOAD_NOT_EXECUTED,True,False,False,True,False,"execution_path,observable_result"
pocs/advanced/14_CWE_284_SELinux_Runtime_Enforcement_Active_Validation.py,advanced,检测SELinux宽容设备是否存在敏感数据泄露风险...,CWE-284,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/advanced/15_CWE_353_System_Directory_Protection_Active_Validation.py,advanced,检测设备dm_verity系统分区完整性验证是否开启...,CWE-353,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/16_CWE_200_ProcFS_Hidepid_Active_Validation.py,advanced,检测设备是否存在procfs进程信息泄露漏洞...,CWE-200,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
